"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `B5_4_7` + `NPA_27` + `diff_NBO_27_29`",0.731050276702873,0.636953985632373,7.60757409782776,1
"`output` ~ `B5_4_7` + `NPA_27` + `NPA_29`",0.731050276702872,0.636953985632373,7.60757409782774,2
"`output` ~ `B5_4_7` + `NPA_29` + `diff_NBO_27_29`",0.731050276702869,0.636953985632371,7.60757409782769,3
"`output` ~ `B5_4_7` + `loc.B5_4_7` + `dip_z_1`",0.764152010422258,0.626739167589356,7.5811198967282,4
"`output` ~ `B5_4_7` + `NPA_1` + `Total_1`",0.719587761719317,0.616589910731053,6.96969827992494,5
"`output` ~ `B5_4_7` + `dip_z_1` + `-25V26-`",0.70685597626254,0.611324832493485,6.79621572102765,6
"`output` ~ `B5_4_7` + `loc.B5_4_7` + `Dist(27, 29)`",0.762890812685868,0.607219052415079,8.15081788046317,7
"`output` ~ `B5_4_7` + `NPA_27` + `Dist(27, 29)`",0.704462205536998,0.606480882862154,7.74901315579031,8
"`output` ~ `B5_4_7` + `loc.B5_4_7` + `NPA_29`",0.764513225970691,0.603927757061339,8.05887796591076,9
"`output` ~ `B5_4_7` + `loc.B5_4_7` + `-27-29-`",0.754213189275422,0.59798044144783,8.37463256192552,10
"`output` ~ `B5_4_7` + `NPA_27` + `dip_z_1`",0.689832842943178,0.594278943495095,7.37003860962013,11
"`output` ~ `dip_x_2` + `cross_1` + `-25V26-`",0.682602759284774,0.582518850263961,8.72222247246576,12
"`output` ~ `B5_4_7` + `NPA_1` + `diff_NBO_2_18`",0.681844135144638,0.58071157517394,6.95079560940625,13
"`output` ~ `B5_4_7` + `loc.B5_4_7` + `diff_NBO_27_29`",0.752357566931017,0.579554174252632,8.27575387454796,14
"`output` ~ `B5_4_7` + `NPA_1` + `Dihedral(1_4_7_8)`",0.692666951332157,0.57794983818715,7.30966525268321,15
