structure,energy
structure_0,-47.46889017
structure_1,-47.46877721
structure_2,-47.46743665
structure_3,-47.46740445
structure_4,-47.46733881
structure_5,-47.46660376
structure_6,-47.46562326
structure_7,-47.46422159
structure_8,-47.46307845
