"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `dip_y_1` + `dip_z_1` + `Total_1`",0.42286036697348,0.294445419309766,19.459915188315,1
"`output` ~ `B1_B5_angle_4_7` + `dip_y_1` + `Total_1`",0.405489391032016,0.255432406999807,20.2470019721621,2
"`output` ~ `L_4_7` + `dip_y_1` + `Total_1`",0.40508840681625,0.248861726487716,20.4469884079305,3
"`output` ~ `L_4_7` + `NPA_18` + `Total_1`",0.399716279080357,0.217403582170266,21.108349668335,4
"`output` ~ `NPA_18` + `dip_x_1` + `Total_1`",0.368118212528745,0.213871032813572,19.924521003437,5
"`output` ~ `NPA_1` + `dip_x_1` + `Dihedral(1_2_19_27)`",0.37182346683686,0.210863633769968,19.4704474891597,6
"`output` ~ `dip_y_1` + `Total_1` + `para_1`",0.356371130414798,0.201471435100361,21.6314303651442,7
"`output` ~ `dip_x_1` + `dip_y_1` + `Total_1`",0.336188269090245,0.199764297083813,20.5460726589892,8
"`output` ~ `dip_z_1` + `Dihedral(1_4_7_8)` + `Dihedral(1_2_19_27)`",0.358709358770073,0.194982503234612,20.0786682487884,9
"`output` ~ `diff_NBO_1_3` + `dip_y_1` + `Total_1`",0.330978117888157,0.190038979049015,21.0906508894585,10
"`output` ~ `dip_z_1` + `Total_1` + `Dihedral(1_2_19_27)`",0.368852183491057,0.186240844105816,20.609801179873,11
"`output` ~ `dip_x_1` + `dip_z_1` + `Dihedral(1_2_19_27)`",0.366530802002536,0.186204785937327,19.8927036878128,12
"`output` ~ `B1_B5_angle_4_7` + `NPA_18` + `Total_1`",0.358768488358242,0.179861694451729,21.6798617427333,13
"`output` ~ `NPA_1` + `dip_y_1` + `Total_1`",0.330131160676323,0.179839289226019,22.574479867314,14
"`output` ~ `B1_B5_angle_4_7` + `Total_1` + `para_1`",0.361950735438492,0.177722710581386,21.3156008532319,15
