"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `B5_4_7` + `NPA_1` + `dip_z_2`",0.79143630812595,0.704705220330064,6.97303636457687,1
"`output` ~ `B5_4_7` + `NPA_1` + `-23V24-`",0.786250254724796,0.704249646950861,6.70647397229691,2
"`output` ~ `B5_4_7` + `NPA_1` + `-25V26-`",0.78886436169872,0.699345539090073,6.95304033518709,3
"`output` ~ `B5_4_7` + `NPA_1` + `Total_1`",0.776320671647747,0.699123999165053,6.79567644179963,4
"`output` ~ `B5_4_7` + `NPA_1` + `Dihedral(1_4_7_8)`",0.764926010054315,0.690849120622896,6.7512545829783,5
"`output` ~ `B5_4_7` + `NPA_1` + `-5V6-`",0.765708699089794,0.68898513963989,6.70457483669434,6
"`output` ~ `B5_4_7` + `NPA_1` + `dip_x_1`",0.783842043941683,0.68576029383379,7.09098105600482,7
"`output` ~ `B5_4_7` + `NPA_1` + `para_1`",0.774043810269095,0.684798017532277,6.73353079096168,8
"`output` ~ `B5_4_7` + `NPA_1` + `cross.angle_1`",0.761954777856869,0.684571755124283,6.68540624039084,9
"`output` ~ `B5_4_7` + `NPA_1` + `para.angle_1`",0.761927987808314,0.68281470552914,6.7404327597833,10
"`output` ~ `B5_4_7` + `NPA_1` + `NPA_18`",0.763258706035858,0.679704456058934,6.6441260299497,11
"`output` ~ `B1_4_7` + `B5_4_7` + `NPA_1`",0.762442398992532,0.677895176245807,6.83188469230613,12
"`output` ~ `B5_4_7` + `NPA_1` + `dip_z_1`",0.769151956755269,0.677103927462932,6.44192508057053,13
"`output` ~ `B5_4_7` + `NPA_1` + `cross_1`",0.78456978590032,0.675713239900618,7.1188253734139,14
"`output` ~ `B5_4_7` + `NPA_1` + `diff_NBO_2_18`",0.762068504408161,0.671443600846936,6.85200511831504,15
