"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `B1_B5_angle_4_7` + `NPA_27` + `-2-18-`",0.348922089172915,0.209552325911148,20.9329434662683,1
"`output` ~ `B1_B5_angle_4_7` + `NPA_29` + `Total_1`",0.379295043983662,0.205762830110591,21.732737839967,2
"`output` ~ `NPA_27` + `Total_1` + `Dist(2, 18)`",0.35737401370775,0.203844545930287,21.1364113532393,3
"`output` ~ `dip_y_1` + `Total_1` + `Dist(27, 29)`",0.348840642455466,0.198062776046721,20.792049688338,4
"`output` ~ `NPA_27` + `-2-18-` + `cross_1`",0.305191977047124,0.187664817381055,20.7276105332853,5
"`output` ~ `L_4_7` + `NPA_27` + `-2-18-`",0.323148085311587,0.18728953028786,22.5120246796438,6
"`output` ~ `NPA_29` + `Total_1` + `-5V6-`",0.339417414423874,0.186583895687395,20.5516499738356,7
"`output` ~ `NPA_29` + `Total_1` + `dip_x_2`",0.352138506049937,0.184891333825892,20.5843041308768,8
"`output` ~ `diff_NBO_27_29` + `Total_1` + `Dist(2, 18)`",0.349270914639638,0.183372535849442,21.4985744597302,9
"`output` ~ `L_4_7` + `NPA_29` + `Total_1`",0.35617293422115,0.178798785603092,22.0372651914564,10
"`output` ~ `dip_z_1` + `-2-18-` + `-25V26-`",0.362770026528031,0.176799878344885,21.9654984258547,11
"`output` ~ `dip_z_1` + `-25V26-` + `Dist(2, 18)`",0.328847404814324,0.17618451871832,21.8909023567611,12
"`output` ~ `loc.B5_4_7` + `NPA_29` + `Total_1`",0.327680635965248,0.175244770994406,22.2736953967768,13
"`output` ~ `B1_B5_angle_4_7` + `Total_1` + `Dist(27, 29)`",0.361537304346629,0.174989032865237,22.1878107401664,14
"`output` ~ `NPA_27` + `Total_1` + `-2-18-`",0.337271179823482,0.172047295363429,21.4299109291119,15
