"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `cross_1` + `Dihedral(1_2_19_27)` + `Dist(1, 3)`",0.602881066483478,0.501185910875405,16.2451033488878,1
"`output` ~ `NPA_29` + `-27-29-` + `cross_1`",0.600466713342327,0.499078869891213,18.012528958868,2
"`output` ~ `diff_NBO_1_3` + `cross_1` + `Dihedral(1_2_19_27)`",0.594282925965188,0.498819684481168,16.2973094807538,3
"`output` ~ `B1_4_7` + `dip_y_1` + `cross_1`",0.609129376069068,0.495837504162967,17.7495942357628,4
"`output` ~ `dip_y_1` + `Total_1` + `cross_1`",0.607977823278866,0.494522265932055,17.367064443646,5
"`output` ~ `NPA_2` + `dip_y_1` + `cross_1`",0.611883846255151,0.490654612841753,17.2402162653325,6
"`output` ~ `diff_NBO_27_29` + `dip_y_1` + `cross_1`",0.577461580800139,0.487938274330418,17.1611325528523,7
"`output` ~ `NPA_29` + `dip_y_1` + `cross_1`",0.576271139236846,0.487629884148336,17.0635340944224,8
"`output` ~ `dip_y_1` + `cross_1` + `Dist(27, 29)`",0.575414122564233,0.486771604770486,17.2055680050171,9
"`output` ~ `NPA_27` + `dip_y_1` + `cross_1`",0.583196905119133,0.485370856988972,17.3082396644209,10
"`output` ~ `NPA_18` + `dip_y_1` + `cross_1`",0.575371637946192,0.484494775066299,17.3731521954783,11
"`output` ~ `NPA_3` + `cross_1` + `Dihedral(1_2_19_27)`",0.593149893085804,0.483635248450774,15.9860261991751,12
"`output` ~ `dip_y_1` + `cross_1` + `Dihedral(1_4_7_8)`",0.576543988097728,0.482744876772594,17.1687319165705,13
"`output` ~ `dip_y_1` + `-27-29-` + `cross_1`",0.57493073885372,0.480524835406267,17.7675938268171,14
"`output` ~ `dip_y_1` + `cross_1` + `Dist(1, 3)`",0.574942654977045,0.478269028987732,17.5415329025166,15
