"V1","B1_4_7","B5_4_7","L_4_7","loc.B5_4_7","B1_B5_angle_4_7","NPA_1","NPA_3","NPA_2","NPA_18","NPA_27","NPA_29","diff_NBO_1_3","diff_NBO_2_18","diff_NBO_27_29","dip_x_1","dip_y_1","dip_z_1","Total_1","dip_x_2","dip_y_2","dip_z_2","-1-3-","-2-18-","-27-29-","cross_1","cross.angle_1","para_1","para.angle_1","-5V6-","-23V24-","-25V26-","Dihedral(1_4_7_8)","Dihedral(1_2_19_27)","Dist(1, 3)","Dist(2, 18)","Dist(27, 29)","output"
"m_Br",1.76,4.77,6.5,4.55,94,0.69033,-0.61909,-0.61901,0.41081,0.77827,-0.55199,1.30942,-1.02982,1.33026,-1.9117,-1.7793,-0.4074,2.6432,-1.1511,1.6483,1.716,1793.514,3636.0673,1904.4217,1644.8333,83.9390305966632,1668.6594,3.15484446252054,1484.9162,1491.8436,1533.6182,113.084101526643,176.483934737833,1.21271482434619,1.00798730657534,1.19189833798399,56
"m_CF3",1.84,4.79,7.01,3.9,83,0.68987,-0.61986,-0.61751,0.41121,0.77807,-0.55165,1.30973,-1.02872,1.32972,-2.6878,-1.2377,-0.2375,2.9686,-1.0999,2.5717,0.9944,1792.9653,3636.9553,1904.8957,1672.5457,53.345258145513,1689.3464,35.722377316434,1484.1888,1490.9009,1536.2402,112.033280227827,176.08583429983,1.21270622541983,1.00804019872473,1.19187396289121,17
"m_CF3_p_F",1.91,4.89,6.96,3.58,101,0.68924,-0.62161,-0.61603,0.41148,0.77829,-0.55187,1.31085,-1.02751,1.33016,-2.4345,0.366,0.0447,2.4623,-0.2211,2.385,-0.5709,1792.0428,3634.7442,1904.2365,1674.9837,54.1949053201316,1699.8691,37.0076063948109,1483.0592,1492.0119,1534.1371,113.72109796872,175.660160321319,1.2129441743209,1.0082409288672,1.19191125599644,62
"m_Cl",1.71,4.48,6.39,4.47,92,0.69038,-0.61886,-0.61942,0.41072,0.77832,-0.55199,1.30924,-1.03014,1.33031,-1.9069,-1.8213,-0.4879,2.6817,-1.1715,1.5823,1.8208,1793.6165,3639.1678,1904.7046,1650.3425,89.0579942256905,1671.111,1.37451048234724,1483.7473,1490.5748,1534.5017,113.905737020252,176.849948067474,1.21273556951423,1.007982990167,1.19188169652571,50
"m_I",1.82,5.14,6.8,4.65,97,0.6905,-0.62019,-0.61854,0.41088,0.77808,-0.55176,1.31069,-1.02942,1.32984,-1.6515,-1.904,-0.3604,2.5462,-1.088,1.4563,1.7827,1792.3981,3639.7012,1904.8095,1639.4926,83.3441558142145,1664.2112,3.42377009203848,1484.1145,1490.8015,1533.3044,115.204302846828,175.985093143586,1.21287262329603,1.00791944314365,1.1918679257724,70
"m_Me",1.7,4.33,6.37,3.85,82,0.68658,-0.62319,-0.62566,0.42525,0.77897,-0.55157,1.30977,-1.05091,1.33054,-2.1194,-0.797,-1.0958,2.5155,-1.2031,-1.0162,1.9616,1786.3291,3613.1663,1905.3103,1663.2567,58.6286892546757,1681.0119,31.501194635332,1462.0478,1490.7671,1533.3815,81.1424037928634,173.743253318561,1.21331475075225,1.00957369643132,1.19168268884003,26
"m_nitro",1.7,4.81,6.89,3.69,90,0.68903,-0.62113,-0.61423,0.41219,0.77788,-0.55087,1.31016,-1.02642,1.32875,-3.8502,-0.0288,0.25,3.8584,-0.4308,3.7813,-0.6355,1791.9668,3637.2772,1905.0131,1654.6009,87.2481641675442,1669.9837,20.7344781154394,1480.9705,1491.3008,1535.0349,112.951152922358,174.92000321974,1.21273055373277,1.00823864541139,1.19176465613434,46
"m_SMe",1.75,4.48,7.66,4.39,93,0.69066,-0.61991,-0.62062,0.41068,0.77778,-0.55089,1.31057,-1.0313,1.32867,-1.2272,-4.0158,-0.9455,4.3043,-1.669,0.1684,3.9639,1792.9728,3642.014,1905.2621,1643.5257,69.3590412678861,1668.1152,22.1855353934319,1482.6664,1490.4733,1533.3245,116.847123455038,177.80997737416,1.21318543579825,1.00771907178241,1.19169981997691,77
"mm_CF3",2.19,4.88,7,3.66,76,0.68829,-0.61779,-0.6143,0.4119,0.77842,-0.55222,1.30608,-1.0262,1.33064,-0.1464,0.4795,0.2021,0.5406,0.3485,0.1459,-0.3867,1793.8992,3635.0824,1904.224,1693.4673,86.0843065482243,1689.9304,3.89299316914074,1482.16,1492.3972,1533.8551,115.412946520468,175.844261108148,1.21233147716703,1.00840296210096,1.19195850555504,30
"mp_Cl",1.74,4.5,7.82,4.44,91,0.68983,-0.61979,-0.61755,0.41101,0.77816,-0.55186,1.30962,-1.02856,1.33002,-1.4343,-0.4291,-0.178,1.5076,-0.5034,1.3804,0.3374,1793.3602,3637.7423,1904.6256,1633.6287,82.6404878657128,1666.795,9.61966306736767,1484.5463,1491.995,1533.9519,114.812790105899,175.933036891536,1.21273456764166,1.00804643412345,1.19190581785685,95
