"V1","B1_4_7","B5_4_7","L_4_7","loc.B5_4_7","B1_B5_angle_4_7","NPA_1","NPA_3","NPA_2","NPA_18","NPA_27","NPA_29","diff_NBO_1_3","diff_NBO_2_18","diff_NBO_27_29","dip_x_1","dip_y_1","dip_z_1","Total_1","dip_x_2","dip_y_2","dip_z_2","-1-3-","-2-18-","-27-29-","cross_1","cross.angle_1","para_1","para.angle_1","-5V6-","-23V24-","-25V26-","Dihedral(1_4_7_8)","Dihedral(1_2_19_27)","Dist(1, 3)","Dist(2, 18)","Dist(27, 29)","output"
"m_Br",1.77,4.81,6.46,4.51,94,0.69061,-0.62718,-0.61263,0.42064,0.78699,-0.5658,1.31779,-1.03327,1.35279,-0.4379,-0.3592,-0.2815,0.6325,0.2149,-0.4666,0.3689,1784.8738,3623.1131,1902.3796,1644.9292,80.1256168832474,1667.2814,7.96732269156542,1483.0657,1499.8565,1533.3376,60.6682640956127,177.911609471374,1.21479572498795,1.00944793774518,1.19305727399023,56
"m_CF3",1.87,4.92,6.64,3.57,96,0.69008,-0.62698,-0.61156,0.42067,0.78687,-0.56597,1.31706,-1.03223,1.35284,-1.3866,0.3168,-0.4639,1.4961,0.6754,-1.324,-0.1705,1785.7419,3622.6754,1902.2932,1670.1634,62.0340840602715,1690.2352,27.0385234848277,1482.1988,1500.4169,1534.1029,61.6413863389721,176.777463839128,1.21458754074624,1.00946902855858,1.193118042052,17
"m_CF3_p_F",1.91,4.92,6.96,3.55,101,0.68928,-0.62787,-0.61071,0.42088,0.78689,-0.56593,1.31715,-1.03159,1.35282,-1.3302,1.7439,-0.5868,2.2705,1.2532,-1.2519,-1.4204,1784.3584,3620.2633,1902.0565,1675.0746,54.7882922197821,1699.1003,36.4046458154845,1484.4016,1500.4441,1534.5836,60.8895647257871,177.425290015105,1.21474829534064,1.00955438780533,1.19314175699998,62
"m_Cl",1.72,4.52,6.39,4.43,92,0.69073,-0.62709,-0.6128,0.42056,0.78702,-0.56583,1.31782,-1.03336,1.35285,-0.3828,-0.4292,-0.3156,0.656,0.2347,-0.4065,0.4582,1786.0101,3623.8196,1902.8184,1650.282,83.0982908194046,1670.0578,4.6490995955185,1486.1091,1500.2652,1534.3443,62.220933893593,177.87577409871,1.21472075521002,1.00943574086368,1.193054197872,50
"m_I",1.82,5.19,6.76,4.61,96,0.69062,-0.6265,-0.61305,0.42053,0.78709,-0.56593,1.31712,-1.03358,1.35302,-0.2643,-0.4237,-0.2802,0.5727,0.1959,-0.301,0.446,1785.0616,3618.3983,1902.2825,1640.0348,77.6432526130989,1662.8467,8.88748824501408,1483.5846,1499.6065,1533.2174,62.1704895280012,178.233465835875,1.21467908899347,1.0094658363813,1.19307434706057,70
"m_Me",1.75,4.4,6.38,3.66,86,0.69249,-0.62997,-0.61437,0.42027,0.78695,-0.56521,1.32246,-1.03464,1.35216,1.4376,-1.7257,-0.0272,2.2462,-0.5059,1.0832,1.9017,1782.9177,3624.9071,1902.7146,1663.5783,56.7358049312386,1682.252,32.461907760541,1483.7607,1500.4184,1533.1156,63.6252080435526,178.031515352778,1.21527655375927,1.00930020239421,1.19288035079341,26
"m_nitro",1.7,4.83,6.88,3.67,89,0.68889,-0.62324,-0.61098,0.42083,0.78685,-0.56612,1.31213,-1.03181,1.35297,-2.992,1.311,-0.7308,3.3473,1.5782,-2.8556,-0.7481,1787.7054,3617.9067,1901.6831,1656.8304,85.7332845403155,1669.2324,10.4704861310235,1484.1133,1500.0356,1532.8868,64.2386480121798,176.801663183075,1.21377326354019,1.00960668382346,1.19318104194921,46
"m_SMe",1.7,4.5,7.62,4.36,92,0.68767,-0.63026,-0.61851,0.43429,0.78537,-0.56145,1.31793,-1.0528,1.34682,0.879,-1.0445,0.1824,1.3772,-0.1369,-1.0503,0.8804,1778.1802,3599.6197,1904.7262,1644.1281,72.645032011812,1669.5939,19.5946889346252,1461.753,1500.3706,1532.908,94.1262186081824,173.037158818216,1.21500573002311,1.01097590775794,1.19234591226749,77
"mm_CF3",2.32,4.91,7,3.59,86,0.68875,-0.62675,-0.60714,0.42208,0.78635,-0.56443,1.3155,-1.02922,1.35078,0.8202,1.869,-1.0132,2.2787,1.6536,0.7368,-1.3838,1785.8196,3620.1343,1903.3841,1694.7275,68.5719872742602,1691.4846,20.5760448172667,1478.6798,1500.6811,1533.5472,64.8630134942523,175.674060583075,1.21416052516049,1.00977502317348,1.19294652093839,30
"mp_Cl",1.76,4.54,7.82,4.4,93,0.69027,-0.62785,-0.61129,0.42088,0.7869,-0.56568,1.31812,-1.03217,1.35258,-0.1901,0.9719,-0.4915,1.1056,0.7803,-0.1004,-0.7768,1784.3613,3620.084,1902.1894,1635.0892,88.7166276455556,1664.9355,4.35252580162357,1483.0464,1500.0202,1533.7773,61.2645527297525,177.360287336249,1.21474364511612,1.00950706556022,1.19306922855507,95
