"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `dip_x_1` + `dip_y_1` + `cross_1`",0.576837010868449,0.435006572994422,17.5144100231865,1
"`output` ~ `dip_y_1` + `cross_1` + `-5V6-`",0.546311313905518,0.419361245172943,17.7413865013473,2
"`output` ~ `dip_y_1` + `para_1` + `-5V6-`",0.511211886523303,0.395415127406577,18.3951415000483,3
"`output` ~ `loc.B5_4_7` + `dip_y_1` + `cross_1`",0.522272716466614,0.387354425252329,19.2986370441425,4
"`output` ~ `loc.B5_4_7` + `dip_y_1` + `para_1`",0.512023270501462,0.383658712334436,20.630376166886,5
"`output` ~ `dip_y_1` + `Total_1` + `cross_1`",0.505955420081871,0.377147290228661,20.0604920109738,6
"`output` ~ `dip_x_1` + `dip_y_1` + `para_1`",0.516236348401358,0.376960589323223,20.0099613637525,7
"`output` ~ `NPA_1` + `dip_y_1` + `cross_1`",0.51982835161949,0.373490194358483,19.0928966955959,8
"`output` ~ `NPA_18` + `dip_x_1` + `para_1`",0.494086549936137,0.366588492737557,20.2761367595762,9
"`output` ~ `B1_4_7` + `dip_y_1` + `cross_1`",0.496413241853428,0.354720597106687,20.7661506835914,10
"`output` ~ `dip_y_1` + `-1-3-` + `cross_1`",0.502271913904454,0.351852469111231,20.0316308021767,11
"`output` ~ `dip_y_1` + `cross_1` + `Dist(2, 18)`",0.50267171221656,0.348763347510643,19.805382538096,12
"`output` ~ `dip_x_1` + `para_1` + `Dist(27, 29)`",0.46667432066324,0.348625294174711,21.1760835310931,13
"`output` ~ `dip_y_1` + `cross_1` + `Dihedral(1_4_7_8)`",0.481264447441928,0.344653191656793,20.1036088448436,14
"`output` ~ `NPA_18` + `dip_y_1` + `cross_1`",0.493589556738822,0.340977927043978,19.8307575404813,15
