"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `dip_y_2` + `-2-18-` + `-5V6-`",0.583671512043003,0.421133558709278,15.3967929964578,1
"`output` ~ `dip_x_1` + `-2-18-` + `-5V6-`",0.567612718612467,0.414394307631916,15.7103087457336,2
"`output` ~ `B5_4_7` + `-2-18-` + `-5V6-`",0.563261414521506,0.401209613772669,15.6734523863058,3
"`output` ~ `L_4_7` + `-2-18-` + `-5V6-`",0.527290580714638,0.38346897379631,15.2361964863227,4
"`output` ~ `-2-18-` + `para.angle_1` + `-5V6-`",0.550195971503538,0.371907958313262,16.8586939670084,5
"`output` ~ `NPA_1` + `-2-18-` + `Dihedral(1_4_7_8)`",0.521823102453603,0.355305431348836,16.7669482639375,6
"`output` ~ `-2-18-` + `cross.angle_1` + `-5V6-`",0.53596536281268,0.350513625010485,16.8511720682705,7
"`output` ~ `B5_4_7` + `NPA_18` + `-2-18-`",0.515621521546269,0.346006049750661,17.2601085149146,8
"`output` ~ `cross_1` + `-5V6-` + `Dist(2, 18)`",0.508391725792568,0.336092553415149,17.8830981042804,9
"`output` ~ `-2-18-` + `cross_1` + `-5V6-`",0.523592036714313,0.335678310847704,18.2918024648686,10
"`output` ~ `-2-18-` + `cross_1` + `Dihedral(1_4_7_8)`",0.505219573942674,0.332329821651256,18.1379817210571,11
"`output` ~ `NPA_29` + `-2-18-` + `-5V6-`",0.516786123635219,0.326653163140943,17.4757292373284,12
"`output` ~ `-2-18-` + `-27-29-` + `-5V6-`",0.518297586981901,0.321717511968988,17.5666732438313,13
"`output` ~ `cross_1` + `Dihedral(1_4_7_8)` + `Dist(2, 18)`",0.479236739032138,0.320455228347405,18.0880969256642,14
"`output` ~ `loc.B5_4_7` + `-2-18-` + `-5V6-`",0.481237496251676,0.299967662430005,17.3626983819535,15
