"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `dip_y_1` + `cross_1` + `-23V24-`",0.630872418145517,0.528638272689301,16.6103558646477,1
"`output` ~ `B1_4_7` + `dip_y_1` + `cross_1`",0.604052632747901,0.486689184079494,17.6989287778021,2
"`output` ~ `dip_y_1` + `Total_1` + `cross_1`",0.601577723968028,0.485496932726638,17.1955072677068,3
"`output` ~ `dip_x_1` + `dip_y_1` + `cross_1`",0.598675111366512,0.476403763324184,17.2082332263886,4
"`output` ~ `NPA_1` + `dip_y_1` + `cross_1`",0.577555140491622,0.470781564560352,17.4861378518803,5
"`output` ~ `NPA_18` + `dip_y_1` + `cross_1`",0.572056101854049,0.47067190692625,17.4588905939985,6
"`output` ~ `dip_y_1` + `-1-3-` + `cross_1`",0.571362955581606,0.470588674495696,17.3865641255714,7
"`output` ~ `dip_y_1` + `cross_1` + `-5V6-`",0.577449738954153,0.469859176048648,17.3435354813935,8
"`output` ~ `diff_NBO_1_3` + `-1-3-` + `cross_1`",0.554541504647066,0.469069696018183,16.7491864114949,9
"`output` ~ `NPA_3` + `dip_y_1` + `cross_1`",0.57163083751363,0.46894325620066,17.4643602775174,10
"`output` ~ `diff_NBO_2_18` + `dip_y_1` + `cross_1`",0.569509939182138,0.468692236092872,17.2767912903131,11
"`output` ~ `dip_y_1` + `cross_1` + `Dist(1, 3)`",0.570608273319867,0.468659424045169,17.4117201256443,12
"`output` ~ `dip_y_1` + `dip_z_2` + `cross_1`",0.599829569892751,0.468439015981516,17.1591463877346,13
"`output` ~ `dip_y_1` + `cross_1` + `Dihedral(1_4_7_8)`",0.570644954334052,0.467416182222186,17.368942825815,14
"`output` ~ `L_4_7` + `dip_y_1` + `cross_1`",0.583910128161361,0.467305715461483,17.3856860262583,15
