"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `dip_x_1` + `-2-18-` + `Dist(27, 29)`",0.638730894512795,0.570192094386517,9.93755514782046,1
"`output` ~ `NPA_18` + `dip_x_1` + `Dihedral(1_2_19_27)`",0.630209580228751,0.562946773431737,9.88881087003972,2
"`output` ~ `dip_x_1` + `Dist(2, 18)` + `Dist(27, 29)`",0.631242264500106,0.559883436105297,10.0043172056911,3
"`output` ~ `diff_NBO_27_29` + `dip_x_1` + `-1-3-`",0.629006772259831,0.557195441694036,10.4370523740336,4
"`output` ~ `B5_4_7` + `NPA_29` + `dip_x_1`",0.645295672022998,0.55387068690672,9.86517817542121,5
"`output` ~ `NPA_27` + `dip_x_1` + `Dist(27, 29)`",0.616222579130508,0.553821922535297,10.0782561258715,6
"`output` ~ `B5_4_7` + `diff_NBO_27_29` + `dip_x_1`",0.643969861470524,0.553548073680428,9.72483481697645,7
"`output` ~ `diff_NBO_27_29` + `dip_x_1` + `Dist(1, 3)`",0.629691226526422,0.552733905132784,10.3013559222873,8
"`output` ~ `diff_NBO_2_18` + `diff_NBO_27_29` + `dip_x_1`",0.610350492743371,0.550527881705017,9.94896221667013,9
"`output` ~ `dip_x_1` + `-23V24-` + `Dist(27, 29)`",0.618809474418006,0.550388577256415,10.1987782671787,10
"`output` ~ `diff_NBO_27_29` + `dip_x_1` + `dip_y_2`",0.631111816610975,0.550324165683221,10.2024146525939,11
"`output` ~ `NPA_1` + `dip_x_1` + `Dist(27, 29)`",0.616748575632411,0.549612617468432,10.1851414425758,12
"`output` ~ `diff_NBO_27_29` + `dip_x_1` + `Dist(27, 29)`",0.611168359633775,0.54836772009208,10.1202582508101,13
"`output` ~ `diff_NBO_1_3` + `dip_x_1` + `Dist(27, 29)`",0.627484496352132,0.546346407832484,10.2036112125,14
"`output` ~ `dip_x_1` + `Dihedral(1_2_19_27)` + `Dist(27, 29)`",0.628167969516248,0.546298375706829,10.1891077611539,15
