"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `dip_x_1` + `dip_y_2` + `para_1`",0.564960178828499,0.453363151147039,17.6784565623949,1
"`output` ~ `NPA_2` + `cross_1` + `Dihedral(1_2_19_27)`",0.547591826911383,0.445593578128537,19.0258398729651,2
"`output` ~ `dip_x_1` + `dip_y_2` + `cross_1`",0.544458662867187,0.400219453585097,18.0499340859969,3
"`output` ~ `dip_z_2` + `cross_1` + `Dist(1, 3)`",0.496101137973173,0.347663946322063,19.877123813171,4
"`output` ~ `B1_4_7` + `cross_1` + `Dist(1, 3)`",0.458407434764003,0.330876156498822,20.8469888413361,5
"`output` ~ `Total_1` + `dip_z_2` + `para_1`",0.464650124755649,0.329329497614857,20.4730718966645,6
"`output` ~ `cross_1` + `Dihedral(1_4_7_8)` + `Dist(27, 29)`",0.434750000749,0.323620184787052,20.4211663861151,7
"`output` ~ `NPA_29` + `cross_1` + `Dihedral(1_4_7_8)`",0.437702700612653,0.321881749456381,20.4488787075933,8
"`output` ~ `dip_y_2` + `dip_z_2` + `cross_1`",0.478160359538435,0.313010457738226,20.2273554713512,9
"`output` ~ `dip_y_2` + `dip_z_2` + `para_1`",0.442382049399856,0.308442034909787,20.9942668744499,10
"`output` ~ `dip_y_2` + `cross_1` + `-5V6-`",0.441960576709996,0.307017966135643,22.1199683124448,11
"`output` ~ `L_4_7` + `-5V6-` + `Dihedral(1_2_19_27)`",0.440658440823764,0.30642553120769,22.6192144639894,12
"`output` ~ `NPA_3` + `dip_z_2` + `cross_1`",0.4518441548023,0.306064030849437,20.9347214652828,13
"`output` ~ `loc.B5_4_7` + `dip_y_1` + `cross_1`",0.432383935146217,0.304526805564354,21.9280100686064,14
"`output` ~ `dip_x_1` + `cross_1` + `Dist(1, 3)`",0.469954304365247,0.303534462714131,21.5787992672143,15
