"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `diff_NBO_27_29` + `dip_x_2` + `dip_y_2`",0.420262387827851,0.255086984941996,20.3152094680681,1
"`output` ~ `dip_x_1` + `dip_z_1` + `dip_x_2`",0.408654439542786,0.236646255675787,21.2708057923354,2
"`output` ~ `NPA_27` + `dip_x_2` + `dip_y_2`",0.391857048079841,0.231899128496775,20.8118261767441,3
"`output` ~ `NPA_29` + `dip_x_2` + `dip_y_2`",0.398281107990054,0.230346306374507,21.1056187728953,4
"`output` ~ `NPA_27` + `dip_x_1` + `dip_x_2`",0.418367187355188,0.227455752658891,20.8404316266551,5
"`output` ~ `diff_NBO_27_29` + `dip_y_1` + `dip_x_2`",0.380392670063138,0.222177457021634,20.8083403590946,6
"`output` ~ `diff_NBO_1_3` + `diff_NBO_27_29` + `dip_x_2`",0.370995106804744,0.215726085055167,20.6410315964891,7
"`output` ~ `dip_x_1` + `dip_x_2` + `Dist(2, 18)`",0.3854599809041,0.211692715109732,21.7994784850641,8
"`output` ~ `diff_NBO_27_29` + `dip_x_2` + `-1-3-`",0.357311785568641,0.209489890819366,20.4086670601509,9
"`output` ~ `NPA_29` + `dip_x_2` + `Dist(27, 29)`",0.342589445670962,0.207874792852384,19.8623461626816,10
"`output` ~ `NPA_27` + `dip_x_2` + `dip_z_2`",0.381640614350197,0.207482319014777,20.6308700169342,11
"`output` ~ `dip_x_1` + `dip_x_2` + `Dihedral(1_4_7_8)`",0.384094606534527,0.203649248813492,22.0059796682819,12
"`output` ~ `dip_x_2` + `dip_y_2` + `Dist(27, 29)`",0.372849097845255,0.203085609422548,21.5872553598787,13
"`output` ~ `NPA_29` + `diff_NBO_1_3` + `dip_x_2`",0.3578678315254,0.202837170539708,21.411086159492,14
"`output` ~ `NPA_29` + `dip_x_2` + `-1-3-`",0.34952921257202,0.201657171516271,20.8917211432515,15
