"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `B1_B5_angle_4_7` + `cross_1` + `-5V6-`",0.612540017303393,0.416096243283145,15.7521626343093,1
"`output` ~ `B1_B5_angle_4_7` + `NPA_27` + `cross_1`",0.618673193687329,0.413845528796574,16.4907173460844,2
"`output` ~ `cross_1` + `-5V6-` + `Dihedral(1_4_7_8)`",0.582156127090875,0.408615136414443,15.8156565195468,3
"`output` ~ `L_4_7` + `cross_1` + `-5V6-`",0.562581538026128,0.402623988393073,16.0977814252805,4
"`output` ~ `loc.B5_4_7` + `cross_1` + `-5V6-`",0.562351208461132,0.401734470762888,16.0074294955356,5
"`output` ~ `L_4_7` + `B1_B5_angle_4_7` + `Dist(27, 29)`",0.57118557889697,0.401578124906679,17.7500605575588,6
"`output` ~ `L_4_7` + `B1_B5_angle_4_7` + `NPA_29`",0.588153960909115,0.398571099571845,17.8527539141791,7
"`output` ~ `NPA_1` + `cross_1` + `-5V6-`",0.590366800809576,0.388109186193254,15.9280327606774,8
"`output` ~ `NPA_27` + `cross_1` + `-5V6-`",0.569614926932004,0.386347416228289,16.0900928639081,9
"`output` ~ `dip_x_2` + `cross_1` + `-5V6-`",0.562005943321879,0.38485495575472,16.2533225954066,10
"`output` ~ `-1-3-` + `cross_1` + `-5V6-`",0.570742695797798,0.384279345369727,16.6393209779095,11
"`output` ~ `NPA_3` + `cross_1` + `-5V6-`",0.572795156920229,0.383224626548629,16.569122751242,12
"`output` ~ `cross_1` + `-5V6-` + `-25V26-`",0.561932339798343,0.382892409985168,16.1832316732491,13
"`output` ~ `cross_1` + `-5V6-` + `Dist(1, 3)`",0.570525159143381,0.380316218879424,16.525723995798,14
"`output` ~ `L_4_7` + `B1_B5_angle_4_7` + `diff_NBO_27_29`",0.572586605273133,0.380065239369653,17.8647680477165,15
