"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `NPA_18` + `diff_NBO_27_29` + `para.angle_1`",0.614264807098883,0.489995172938075,10.5119638617075,1
"`output` ~ `B5_4_7` + `NPA_18` + `diff_NBO_27_29`",0.618574186517836,0.482174596580999,11.2095996298919,2
"`output` ~ `B5_4_7` + `NPA_18` + `NPA_29`",0.631010329467088,0.481857985611753,11.074971875255,3
"`output` ~ `B5_4_7` + `-27-29-` + `Dihedral(1_2_19_27)`",0.601213852717769,0.477825297950627,10.361180762744,4
"`output` ~ `NPA_18` + `diff_NBO_1_3` + `diff_NBO_27_29`",0.603722436446624,0.473348524777492,11.7868859263766,5
"`output` ~ `NPA_18` + `diff_NBO_27_29` + `cross.angle_1`",0.589328186980834,0.458781203227496,11.1179296288445,6
"`output` ~ `NPA_18` + `diff_NBO_27_29` + `dip_y_2`",0.599583049665906,0.455226118758031,11.1707666354426,7
"`output` ~ `NPA_18` + `NPA_29` + `para.angle_1`",0.588367282803136,0.444671191848615,11.2535430215437,8
"`output` ~ `NPA_18` + `diff_NBO_27_29` + `Dist(27, 29)`",0.592510395066664,0.444305535483645,11.938914017378,9
"`output` ~ `NPA_18` + `diff_NBO_27_29` + `cross_1`",0.573803516363914,0.442959400773455,11.6375941315742,10
"`output` ~ `B1_4_7` + `B5_4_7` + `-5V6-`",0.575134695343432,0.442463731536337,12.2543029408163,11
"`output` ~ `NPA_2` + `diff_NBO_2_18` + `diff_NBO_27_29`",0.587516675088536,0.440861762956573,11.8579606440788,12
"`output` ~ `NPA_18` + `diff_NBO_2_18` + `diff_NBO_27_29`",0.587516675088533,0.440861762956573,11.8579606440787,13
"`output` ~ `NPA_2` + `NPA_18` + `diff_NBO_27_29`",0.587516675088533,0.440861762956572,11.8579606440787,14
"`output` ~ `NPA_3` + `NPA_18` + `diff_NBO_27_29`",0.581728489266087,0.437586699399762,12.2811315925907,15
