"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `NPA_18` + `diff_NBO_2_18` + `dip_z_1`",0.605058205650037,0.400073964948355,17.1911748447537,1
"`output` ~ `NPA_2` + `NPA_18` + `dip_z_1`",0.605058205649978,0.400073964948277,17.1911748447549,2
"`output` ~ `NPA_2` + `diff_NBO_2_18` + `dip_z_1`",0.605058205649904,0.400073964948184,17.1911748447561,3
"`output` ~ `NPA_29` + `dip_z_1` + `-27-29-`",0.572522508529765,0.399198469105329,17.1287820748734,4
"`output` ~ `dip_z_1` + `-27-29-` + `Dist(27, 29)`",0.540626719168246,0.333929659398741,18.5864497487613,5
"`output` ~ `-27-29-` + `para_1` + `Dist(27, 29)`",0.500575272942075,0.327458038188075,17.5957889131701,6
"`output` ~ `diff_NBO_27_29` + `dip_z_1` + `-27-29-`",0.525885640751785,0.31694130909969,18.48134304141,7
"`output` ~ `NPA_29` + `-27-29-` + `Dihedral(1_4_7_8)`",0.461244741236791,0.275856555203767,19.7729657537054,8
"`output` ~ `dip_y_1` + `-27-29-` + `Dist(27, 29)`",0.447397790921001,0.272160774069281,18.8705363408692,9
"`output` ~ `dip_z_1` + `-27-29-` + `cross_1`",0.537869320809632,0.271628899120692,18.2547987835567,10
"`output` ~ `dip_z_1` + `cross_1` + `Dihedral(1_4_7_8)`",0.494620259741362,0.270567925292339,18.6392965577838,11
"`output` ~ `NPA_29` + `-27-29-` + `Dist(1, 3)`",0.457215956711508,0.264226889595631,17.3854055743913,12
"`output` ~ `dip_z_1` + `-27-29-` + `Dihedral(1_2_19_27)`",0.493483898000737,0.262344550275517,18.6216303194126,13
"`output` ~ `NPA_3` + `NPA_29` + `-27-29-`",0.455062679729881,0.250476123162162,17.4842507829717,14
"`output` ~ `cross_1` + `-5V6-` + `Dist(1, 3)`",0.464578188808079,0.241835168000149,19.1580459123237,15
