"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `B5_4_7` + `NPA_1` + `-1-3-`",0.776334840209242,0.687874677863008,6.27009685275046,1
"`output` ~ `B5_4_7` + `NPA_1` + `dip_x_1`",0.78976279995173,0.687819388517634,7.16554635346174,2
"`output` ~ `B5_4_7` + `NPA_1` + `dip_z_2`",0.783529631399209,0.686756108444702,7.34108987655864,3
"`output` ~ `B5_4_7` + `NPA_1` + `Dihedral(1_2_19_27)`",0.766903579139673,0.681884221119245,7.11011518449355,4
"`output` ~ `B5_4_7` + `NPA_1` + `diff_NBO_1_3`",0.771925215781485,0.676471585692454,6.37729403586029,5
"`output` ~ `B5_4_7` + `NPA_1` + `NPA_3`",0.771925215781485,0.676471585692454,6.37729403586029,6
"`output` ~ `B5_4_7` + `NPA_3` + `diff_NBO_1_3`",0.771925215781483,0.67647158569245,6.37729403586037,7
"`output` ~ `B5_4_7` + `NPA_1` + `Total_1`",0.766727353307693,0.668417746390556,7.24806450665849,8
"`output` ~ `B5_4_7` + `NPA_1` + `-23V24-`",0.761048548223624,0.667373134716003,7.17422677826597,9
"`output` ~ `B5_4_7` + `NPA_1` + `Dist(1, 3)`",0.76635966855557,0.666400661538371,6.61122037403016,10
"`output` ~ `B5_4_7` + `NPA_1` + `-5V6-`",0.746034812432559,0.661185133220073,7.10727193728151,11
"`output` ~ `B5_4_7` + `NPA_1` + `NPA_18`",0.75547718687234,0.66072692525737,7.10870618626967,12
"`output` ~ `B5_4_7` + `NPA_1` + `diff_NBO_2_18`",0.752727269588217,0.655834923514253,6.8425256400593,13
"`output` ~ `dip_z_2` + `-5V6-` + `-25V26-`",0.736990420683758,0.651602359954341,8.64561203342555,14
"`output` ~ `B5_4_7` + `NPA_1` + `dip_z_1`",0.750761092206256,0.651444095988447,7.48359746873456,15
