,output,class
basic,14,1
m_Br,58,2
m_CF3,86,2
m_CF3_p_F,78,2
m_Cl,65,2
m_CN,0,1
m_F,63,2
m_I,78,2
m_Me,78,2
m_nitro,-15,1
m_OMe,71,2
m_SMe,93,2
mm_CF3,0,1
mp_Cl,39,2
o_Br,38,2
o_Cl,53,2
o_F,49,2
o_I,63,2
o_Naph,84,2
o_nitro,23,2
p_amine,12,1
p_azide,66,2
p_boc,33,2
p_Br,79,2
p_Cl,75,2
p_CN,53,2
p_F,59,2
p_I,85,2
p_Me,58,2
p_nitro,47,2
p_OEt,55,2
p_OH,12,1
p_OMe,57,2
p_Ph,79,2
p_SCF3,89,2
p_SMe,88,2
p_tfm,78,2
penta_F,40,2
