,output,class
basic,4,1
m_Br,56,2
m_CF3,17,2
m_CF3_p_F,62,2
m_Cl,50,2
m_CN,15,1
m_F,11,1
m_I,70,2
m_Me,26,2
m_nitro,46,2
m_OMe,11,1
m_SMe,77,2
mm_CF3,30,2
mp_Cl,95,2
o_Br,12,1
o_Cl,6,1
o_F,4,1
o_I,5,1
o_Naph,20,2
o_nitro,1,1
p_amine,5,1
p_azide,70,2
p_boc,11,1
p_Br,88,2
p_Cl,74,2
p_CN,48,2
p_F,25,2
p_I,93,2
p_Me,21,2
p_nitro,88,2
p_OEt,35,2
p_OH,3,1
p_OMe,26,2
p_Ph,67,2
p_SCF3,73,2
p_SMe,23,2
p_tfm,92,2
penta_F,2,1
