,output,class
basic,15,1
m_Br,45,2
m_CF3,59,2
m_CF3_p_F,62,2
m_Cl,41,2
m_CN,57,2
m_F,27,2
m_I,57,2
m_Me,35,2
m_nitro,54,2
m_OMe,31,2
m_SMe,0,1
mm_CF3,5,1
mp_Cl,64,2
o_Br,12,1
o_Cl,10,1
o_F,19,2
o_I,17,2
o_Naph,41,2
o_nitro,17,2
p_amine,8,1
p_azide,19,2
p_boc,10,1
p_Br,28,2
p_Cl,29,2
p_CN,0,1
p_F,26,2
p_I,36,2
p_Me,11,1
p_nitro,27,2
p_OEt,15,1
p_OH,7,1
p_OMe,16,2
p_Ph,20,2
p_SCF3,32,2
p_SMe,57,2
p_tfm,26,2
penta_F,19,2
