"V1","B1_4_7","B5_4_7","L_4_7","loc.B5_4_7","B1_B5_angle_4_7","NPA_1","NPA_3","NPA_2","NPA_18","NPA_27","NPA_29","diff_NBO_1_3","diff_NBO_2_18","diff_NBO_27_29","dip_x_1","dip_y_1","dip_z_1","Total_1","dip_x_2","dip_y_2","dip_z_2","-1-3-","-2-18-","-27-29-","cross_1","cross.angle_1","para_1","para.angle_1","-5V6-","-23V24-","-25V26-","Dihedral(1_4_7_8)","Dihedral(1_2_19_27)","Dist(1, 3)","Dist(2, 18)","Dist(27, 29)","output"
"m_Br",1.78,4.76,6.5,4.55,94,0.69411,-0.61199,-0.61589,0.41089,0.79527,-0.57008,1.3061,-1.02678,1.36535,2.1326,0.1811,3.586,4.1761,2.6697,-1.7112,-2.7175,1799.0847,3644.7399,1906.3996,1641.5631,85.5725815448105,1669.3498,2.20783592014771,1460.0318,1494.9124,1534.3309,130.984739952406,49.8679343053042,1.21185427369135,1.00714852236649,1.19106143938338,58
"m_CF3",1.92,4.78,7.01,3.93,118,0.69339,-0.61007,-0.61574,0.40964,0.796,-0.57174,1.30346,-1.02538,1.36774,1.1076,1.0145,3.6617,3.9578,3.0777,-0.6536,-2.4009,1800.8061,3647.3699,1905.4547,1670.7492,60.6892283831471,1688.6278,28.9639079450275,1461.797,1494.3576,1534.9191,132.495146852377,49.6971966135949,1.21160036531317,1.00709393823714,1.19129100238439,86
"m_CF3_p_F",1.91,4.89,6.96,3.59,101,0.69215,-0.60837,-0.61596,0.40819,0.79713,-0.57452,1.30052,-1.02415,1.37165,1.0376,2.8731,3.9305,4.978,3.328,0.4437,-3.6752,1801.5272,3649.6608,1903.632,1673.274,56.8681719734423,1697.9317,33.3115545237754,1462.8499,1494.9353,1534.8739,136.366228563814,49.6060353107578,1.21147495941765,1.00701264360136,1.19169905663846,78
"m_Cl",1.73,4.47,6.38,4.47,91,0.6942,-0.61229,-0.61592,0.41111,0.79499,-0.56956,1.30649,-1.02703,1.36455,2.2332,0.0692,3.5574,4.2008,2.6221,-1.8136,-2.7353,1799.3747,3644.2792,1906.5924,1647.6226,89.831745773662,1672.1898,2.65919018817774,1460.0055,1494.5035,1534.9389,130.493584541942,49.9730085182856,1.21186436157517,1.00714372267567,1.19097691534177,65
"m_F",1.7,3.67,6.39,4.27,90,0.69528,-0.61318,-0.61583,0.41171,0.79466,-0.5689,1.30846,-1.02754,1.36356,2.3663,-0.1632,3.5496,4.2691,2.5419,-2.0172,-2.7741,1797.8717,3646.5867,1907.2265,1667.7992,88.6488646206633,1687.4749,0.280423548988656,1459.9503,1495.2747,1534.2256,130.410950644383,50.0107504145743,1.21196408681899,1.0071667187889,1.19089331645576,63
"m_I",1.83,5.13,6.81,4.66,96,0.69421,-0.6128,-0.61555,0.41166,0.79483,-0.56891,1.30701,-1.02721,1.36374,2.4087,-0.2159,3.4231,4.1911,2.5311,-1.9452,-2.7158,1798.8023,3648.4155,1907.2956,1635.9083,84.4741465978181,1665.1876,2.97857922647662,1459.4956,1496.3098,1535.442,127.692754281954,49.9149060647587,1.21188213309546,1.00706001940401,1.19088161436937,78
"m_Me",1.73,4.31,6.39,3.88,79,0.69583,-0.62074,-0.6152,0.41618,0.79323,-0.56396,1.31657,-1.03138,1.35719,4.4161,-2.5128,2.6645,5.7372,1.7011,-4.0465,-3.6943,1791.0584,3648.6338,1910.2653,1661.138,56.6324178596282,1682.6783,33.8654955695807,1459.4692,1492.5819,1535.0941,117.531960299561,50.5875150971235,1.21289359320964,1.00702208935107,1.19011696476019,78
"m_OMe",1.77,4.5,7.11,5.88,94,0.69606,-0.61951,-0.61519,0.41555,0.79347,-0.56478,1.31557,-1.03074,1.35825,3.9168,-3.3006,2.8724,5.8725,1.9163,-4.8112,-2.7687,1793.4739,3644.7359,1910.1136,1656.5848,69.2334843311885,1686.2897,20.745672187266,1459.8805,1493.7718,1534.7806,120.942707651936,50.4490327865145,1.21278354204903,1.00714212754159,1.19024767067405,71
"m_SMe",1.77,4.47,7.67,4.39,93,0.69582,-0.61751,-0.61544,0.41427,0.79383,-0.56611,1.31333,-1.02971,1.35994,3.3302,-2.7854,3.0185,5.2877,2.1102,-4.275,-2.2872,1794.666,3645.9911,1909.2626,1642.3231,72.4662644176624,1670.4032,20.1686676586753,1458.3798,1494.1041,1534.969,123.304611742165,50.3038574867247,1.2125354363032,1.00714812461226,1.1904475241068,93
"mp_Cl",1.72,4.5,7.82,4.44,91,0.69315,-0.6097,-0.61576,0.40947,0.79602,-0.57191,1.30285,-1.02523,1.36793,2.2462,1.775,3.8402,4.7899,2.7661,-0.7948,-3.8288,1801.1776,3646.1593,1905.394,1630.5427,82.6190927424882,1667.6179,9.9709936276165,1464.2042,1494.2775,1535.1985,134.440423352831,49.7276838647985,1.21157523673109,1.00711170650579,1.19131985993477,39
"o_Br",1.76,4.82,6.4,1.35,94,0.69282,-0.60913,-0.61718,0.40787,0.7986,-0.5729,1.30195,-1.02505,1.3715,1.0473,0.712,4.5327,4.7063,2.9353,-2.9064,-2.2552,1803.2781,3650.3416,1905.0607,1640.9503,83.1161470159972,1667.6032,2.25544656123585,1464.1958,1493.6506,1536.2555,160.36026526178,50.4186538940317,1.21198753095112,1.00675301293465,1.19139268738271,38
"o_Cl",1.72,4.52,6.4,1.39,93,0.69285,-0.60938,-0.61738,0.40798,0.79833,-0.5728,1.30223,-1.02536,1.37113,1.1677,0.6575,4.5291,4.7232,2.8595,-2.9585,-2.3194,1802.7052,3652.0005,1904.8765,1644.3875,80.0895929827102,1669.8139,5.45295297171329,1465.9961,1492.3088,1534.3033,160.019502439919,50.5642700725144,1.21200310524437,1.0067835669815,1.19141303567906,53
"o_F",1.7,3.7,6.39,1.55,90,0.69434,-0.61176,-0.61699,0.41095,0.79619,-0.57158,1.3061,-1.02794,1.36777,2.1513,-1.0211,3.9874,4.6443,2.6204,-3.1734,-2.1523,1800.0909,3647.2496,1905.8052,1661.2122,82.7475986749603,1690.3239,7.68441444532174,1466.7058,1494.9939,1535.4073,139.798051330422,49.9774139823307,1.21192490049095,1.00701149294981,1.19124503305155,49
"o_I",1.8,5.21,6.4,1.3,97,0.69305,-0.60922,-0.61703,0.40775,0.79858,-0.57266,1.30227,-1.02478,1.37124,1.072,0.9759,4.52,4.7468,2.8744,-2.9132,-2.4047,1802.8568,3652.8355,1905.1154,1636.0173,82.5346975170543,1662.2976,1.84551807578993,1463.9728,1494.0478,1535.3959,162.140464242572,50.5893032291848,1.21203676652608,1.00673040857471,1.19135658704353,63
"o_Naph",1.7,5.62,6.41,1.71,91,0.69614,-0.61036,-0.61866,0.40808,0.79761,-0.57101,1.3065,-1.02674,1.36862,2.2581,1.4702,4.5821,5.3156,1.9169,-3.4653,-3.5459,1802.6324,3648.4141,1905.74,1704.0755,88.3494369220574,1658.8517,3.87235164857017,1474.261,1492.144,1534.3908,167.250211218384,50.8335249355382,1.21210832025979,1.00698513947625,1.19120932598893,84
"o_nitro",1.78,4.75,6.4,2.36,83,0.70035,-0.62618,-0.61792,0.43211,0.7924,-0.56222,1.32653,-1.05003,1.35462,0.2681,1.0352,0.3604,1.1285,0.6172,-0.0224,-0.9445,1792.2968,3614.6017,1910.3594,1648.9161,76.1975779775124,1697.301,6.49991272711142,1491.2461,1493.5501,1534.4892,108.486746553645,49.4966431689849,1.21377262254963,1.00947423983923,1.19002883284944,23
"p_azide",1.7,3.52,8.69,6.99,93,0.69486,-0.61463,-0.61645,0.41194,0.79483,-0.56904,1.30949,-1.02839,1.36387,3.7038,0.387,3.4979,5.1091,2.0616,-2.1433,-4.1544,1797.2891,3644.4515,1907.1023,1646.5686,80.4254731978951,1686.111,9.836023556753,1459.6082,1492.562,1535.0191,129.322303750686,49.8606078901364,1.21215451470223,1.00712186688255,1.19090244659502,66
