"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `NPA_1` + `NPA_29` + `-2-18-`",0.707789198738175,0.613437705714623,11.9501006575992,1
"`output` ~ `NPA_29` + `-2-18-` + `-23V24-`",0.720334107707739,0.606850747775413,14.1267902891887,2
"`output` ~ `NPA_29` + `-2-18-` + `para_1`",0.716152071037651,0.596811878376074,13.7840038079729,3
"`output` ~ `-2-18-` + `para_1` + `Dist(2, 18)`",0.720007492474783,0.594655717184193,12.3462539262615,4
"`output` ~ `diff_NBO_27_29` + `-2-18-` + `Dist(2, 18)`",0.688267056004068,0.584557126696044,11.4879790252068,5
"`output` ~ `diff_NBO_27_29` + `-2-18-` + `para_1`",0.708773366371586,0.580149466787416,14.0051389975038,6
"`output` ~ `diff_NBO_27_29` + `-2-18-` + `-23V24-`",0.702342274090673,0.576428290347553,13.8096137240852,7
"`output` ~ `NPA_2` + `-2-18-` + `Dist(2, 18)`",0.738056098382389,0.573521561561127,12.6685572915724,8
"`output` ~ `NPA_29` + `-2-18-` + `cross_1`",0.708287128583875,0.564090586893531,13.4228327815215,9
"`output` ~ `NPA_27` + `-2-18-` + `Dist(2, 18)`",0.66781529101897,0.561565112073725,12.4694251977216,10
"`output` ~ `NPA_29` + `-2-18-` + `Dist(2, 18)`",0.671246101534532,0.556282697416791,12.0793984426895,11
"`output` ~ `dip_x_2` + `-2-18-` + `Dist(2, 18)`",0.695879996746437,0.553456707971162,13.4520149614032,12
"`output` ~ `-2-18-` + `-23V24-` + `Dist(27, 29)`",0.676596842876994,0.551368707926869,13.4348477133567,13
"`output` ~ `dip_y_2` + `-2-18-` + `Dist(2, 18)`",0.688347520126635,0.551302200267899,12.515583337098,14
"`output` ~ `-2-18-` + `-23V24-` + `Dist(2, 18)`",0.684281031136753,0.550058766642682,14.0996806508935,15
