"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `B5_4_7` + `NPA_27` + `diff_NBO_27_29`",0.571124636332979,0.457451181045345,11.1149693275092,1
"`output` ~ `B5_4_7` + `NPA_27` + `NPA_29`",0.571124636332975,0.457451181045339,11.1149693275093,2
"`output` ~ `B5_4_7` + `NPA_29` + `diff_NBO_27_29`",0.571124636332966,0.457451181045323,11.1149693275093,3
"`output` ~ `NPA_29` + `dip_y_1` + `dip_y_2`",0.568154376986559,0.447312381629948,12.3823861992022,4
"`output` ~ `dip_y_1` + `dip_z_1` + `dip_y_2`",0.563247990379766,0.439296486030777,11.7470752598432,5
"`output` ~ `dip_y_1` + `dip_y_2` + `Dist(27, 29)`",0.561442638201445,0.435433971780844,12.5105111157959,6
"`output` ~ `diff_NBO_1_3` + `Total_1` + `-1-3-`",0.533004492728192,0.431066401599629,12.4677842533245,7
"`output` ~ `diff_NBO_1_3` + `dip_x_1` + `-1-3-`",0.532525038518458,0.429824127025437,11.3596034987953,8
"`output` ~ `Total_1` + `dip_x_2` + `-1-3-`",0.525774823773375,0.429405577456438,11.6531203893507,9
"`output` ~ `diff_NBO_2_18` + `dip_x_2` + `Dihedral(1_4_7_8)`",0.519617353381065,0.423344111867734,12.3844080010212,10
"`output` ~ `NPA_3` + `Total_1` + `-1-3-`",0.519969378623741,0.422482393503459,11.9580461288965,11
"`output` ~ `dip_y_1` + `dip_y_2` + `-27-29-`",0.5505931357711,0.420072150871774,12.7506248132807,12
"`output` ~ `diff_NBO_2_18` + `dip_x_1` + `-5V6-`",0.495138036483606,0.4134623389335,11.5730859757312,13
"`output` ~ `B5_4_7` + `NPA_27` + `Dist(27, 29)`",0.530657370142274,0.411207806630336,11.5797735311325,14
"`output` ~ `NPA_3` + `dip_x_1` + `-1-3-`",0.506312882234392,0.408876179771767,11.1993502404844,15
