"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `Total_1` + `dip_x_2` + `cross_1`",0.671856246359402,0.578192132731859,15.8385600695316,1
"`output` ~ `diff_NBO_2_18` + `Total_1` + `cross_1`",0.651658257110781,0.575740562619872,15.5735455909048,2
"`output` ~ `Total_1` + `cross_1` + `Dist(27, 29)`",0.644672663603965,0.573312939216089,15.2095207819564,3
"`output` ~ `Total_1` + `cross_1` + `-25V26-`",0.663778212105102,0.571855228050047,16.5113603127805,4
"`output` ~ `NPA_18` + `Total_1` + `cross_1`",0.638005692012081,0.571664366055232,15.3029336670083,5
"`output` ~ `L_4_7` + `Total_1` + `cross_1`",0.640908590589839,0.571368260517559,15.3216463979839,6
"`output` ~ `Total_1` + `-27-29-` + `cross_1`",0.643945841257682,0.568205004454701,15.5407954417683,7
"`output` ~ `NPA_29` + `Total_1` + `cross_1`",0.633877054933121,0.558945283152349,15.6295294506943,8
"`output` ~ `loc.B5_4_7` + `Total_1` + `cross_1`",0.627928264603483,0.557350300787637,15.3744153827624,9
"`output` ~ `diff_NBO_27_29` + `Total_1` + `cross_1`",0.631208219385184,0.555863077194111,15.6197039678874,10
"`output` ~ `diff_NBO_1_3` + `Total_1` + `cross_1`",0.626962845292472,0.554183127501994,15.7951817366247,11
"`output` ~ `dip_z_1` + `Total_1` + `cross_1`",0.640066530702587,0.553923287202841,16.9065736808586,12
"`output` ~ `Total_1` + `cross_1` + `para.angle_1`",0.650628704021282,0.551821284201088,17.3201585720861,13
"`output` ~ `Total_1` + `-1-3-` + `cross_1`",0.629997008705704,0.551804945247541,15.8038125360206,14
"`output` ~ `NPA_1` + `Total_1` + `cross_1`",0.617872159106698,0.550339664667078,16.0165669818694,15
