"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `B1_4_7` + `loc.B5_4_7` + `cross_1`",0.619890524628883,0.359726596457706,17.0256333554212,1
"`output` ~ `diff_NBO_2_18` + `cross_1` + `-5V6-`",0.524872490517538,0.355110357445985,17.8292612502981,2
"`output` ~ `NPA_1` + `cross_1` + `-5V6-`",0.519887450972013,0.304417660305209,18.1072023807696,3
"`output` ~ `B1_4_7` + `dip_z_2` + `cross_1`",0.512375560277842,0.272604707428591,18.8147662249523,4
"`output` ~ `L_4_7` + `NPA_1` + `cross_1`",0.425750837887194,0.238450411185604,19.0525106457391,5
"`output` ~ `cross_1` + `Dihedral(1_2_19_27)` + `Dist(27, 29)`",0.469641317121172,0.234519645654619,17.9404736269105,6
"`output` ~ `dip_z_2` + `cross_1` + `-5V6-`",0.465849515672489,0.2301616490234,20.5529868787502,7
"`output` ~ `NPA_1` + `diff_NBO_2_18` + `cross_1`",0.442260102728067,0.229765215246976,19.5487042292279,8
"`output` ~ `NPA_1` + `cross_1` + `para_1`",0.45493325344958,0.22344708929154,19.2356303884058,9
"`output` ~ `NPA_29` + `cross_1` + `Dihedral(1_2_19_27)`",0.457350435951307,0.222544594783217,17.9281127062533,10
"`output` ~ `-27-29-` + `cross_1` + `Dihedral(1_2_19_27)`",0.464615323842331,0.219884286349698,18.3423938052137,11
"`output` ~ `NPA_1` + `cross_1` + `-23V24-`",0.429160716379602,0.214884591749988,19.4205774845285,12
"`output` ~ `B1_4_7` + `NPA_1` + `cross_1`",0.477631413705447,0.212118002235157,19.768392424472,13
"`output` ~ `NPA_18` + `dip_x_2` + `cross_1`",0.455481214219532,0.210049010828406,18.2241266987251,14
"`output` ~ `NPA_1` + `dip_z_2` + `cross_1`",0.429093816962219,0.204491840515017,19.413017905778,15
