"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `dip_x_1` + `dip_y_2` + `para_1`",0.556627967346688,0.450523683827572,17.5154212937501,1
"`output` ~ `dip_x_1` + `dip_y_2` + `cross_1`",0.567800461212232,0.43124751217829,17.8868739655761,2
"`output` ~ `NPA_2` + `cross_1` + `Dihedral(1_2_19_27)`",0.513145889155345,0.4139345644992,19.4853286618793,3
"`output` ~ `NPA_3` + `dip_y_1` + `-1-3-`",0.466009043951103,0.376808470502746,19.4582890999735,4
"`output` ~ `NPA_3` + `-1-3-` + `Dist(2, 18)`",0.449784957880826,0.355521103720707,20.0717189865553,5
"`output` ~ `NPA_2` + `dip_y_1` + `cross_1`",0.483122962981684,0.348034167705795,20.3142801909496,6
"`output` ~ `dip_x_1` + `dip_y_1` + `cross_1`",0.485545357646824,0.340730699683284,21.3085863943916,7
"`output` ~ `NPA_3` + `-1-3-` + `cross_1`",0.492067615760684,0.337787325655862,20.4984913617326,8
"`output` ~ `NPA_3` + `diff_NBO_2_18` + `-1-3-`",0.44019315538161,0.336136770788607,20.6058571644559,9
"`output` ~ `dip_x_1` + `dip_y_1` + `para_1`",0.465984217865663,0.335394036021271,20.810037796238,10
"`output` ~ `NPA_1` + `cross_1` + `Dist(1, 3)`",0.445838411842399,0.333681749426166,21.4480534504543,11
"`output` ~ `NPA_3` + `-1-3-` + `-2-18-`",0.434874449555104,0.332532700298705,20.7025956581209,12
"`output` ~ `diff_NBO_1_3` + `dip_x_1` + `cross_1`",0.480214827336882,0.332165642696057,21.3355051181012,13
"`output` ~ `NPA_1` + `dip_y_2` + `cross_1`",0.447888782902483,0.332015977522599,21.0537926542133,14
"`output` ~ `Total_1` + `dip_z_2` + `cross_1`",0.491517002684598,0.330410188329818,19.5851024121473,15
