"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `NPA_3` + `-27-29-` + `cross_1`",0.545992830102177,0.391955464104641,15.8690765063423,1
"`output` ~ `NPA_1` + `diff_NBO_1_3` + `Dist(27, 29)`",0.572693207507852,0.356406926239425,15.7314896089022,2
"`output` ~ `NPA_1` + `NPA_3` + `Dist(27, 29)`",0.572693207507823,0.356406926239391,15.7314896089026,3
"`output` ~ `NPA_3` + `diff_NBO_1_3` + `Dist(27, 29)`",0.572693207507798,0.356406926239372,15.731489608903,4
"`output` ~ `L_4_7` + `para_1` + `Dist(1, 3)`",0.52445901944863,0.339069649732668,16.0240465466523,5
"`output` ~ `dip_z_1` + `-2-18-` + `Dist(2, 18)`",0.528055153252602,0.332995712308081,17.7427460713691,6
"`output` ~ `NPA_3` + `dip_z_2` + `Dist(27, 29)`",0.506764971840373,0.32622362510228,16.866776744214,7
"`output` ~ `NPA_3` + `-2-18-` + `cross_1`",0.475760346282894,0.319139816191807,17.5447799235395,8
"`output` ~ `NPA_1` + `dip_x_2` + `Dist(1, 3)`",0.485066903380195,0.308620885817594,17.2619610346633,9
"`output` ~ `-2-18-` + `Dist(1, 3)` + `Dist(2, 18)`",0.479039745582365,0.307118767350662,18.3736845349388,10
"`output` ~ `cross_1` + `-23V24-` + `Dist(1, 3)`",0.477337100165339,0.304775464820853,16.8876714161403,11
"`output` ~ `NPA_3` + `-27-29-` + `para_1`",0.485981368780814,0.300976630176017,16.5104364318662,12
"`output` ~ `NPA_3` + `Dihedral(1_4_7_8)` + `Dist(27, 29)`",0.488354111940552,0.293328861621281,16.9029882043467,13
"`output` ~ `NPA_3` + `-2-18-` + `Dist(2, 18)`",0.47520898900017,0.290202512870114,19.3553577698126,14
"`output` ~ `dip_z_1` + `cross_1` + `Dist(1, 3)`",0.490810310279769,0.286464301139057,18.6792133160948,15
