"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `dip_z_2` + `-5V6-` + `-23V24-` + `-25V26-`",0.68721247807216,0.585495486503279,10.0572812708527,1
"`output` ~ `dip_x_2` + `dip_z_2` + `-1-3-` + `-25V26-`",0.668710084795979,0.582024678461922,10.6103653806965,2
"`output` ~ `NPA_27` + `dip_x_2` + `dip_z_2` + `-25V26-`",0.66887755365,0.577732427640851,10.5183334552112,3
"`output` ~ `B1_B5_angle_4_7` + `dip_y_1` + `Total_1` + `dip_z_2`",0.688921994612706,0.577666105551106,10.4878625469219,4
"`output` ~ `B5_4_7` + `NPA_2` + `dip_y_2` + `-5V6-`",0.719119980674087,0.577402823309625,9.23410514841822,5
"`output` ~ `dip_x_2` + `dip_z_2` + `-23V24-` + `-25V26-`",0.679838622109531,0.576188444768027,10.4834644655115,6
"`output` ~ `B1_B5_angle_4_7` + `dip_z_2` + `-5V6-` + `-25V26-`",0.666066129979636,0.575736091553661,10.584367458836,7
"`output` ~ `dip_z_2` + `para_1` + `-5V6-` + `-25V26-`",0.669729284743482,0.575672999346337,10.3492909051332,8
"`output` ~ `diff_NBO_2_18` + `dip_x_2` + `dip_z_2` + `-25V26-`",0.664765452578944,0.575105240364212,10.6698556010746,9
"`output` ~ `B5_4_7` + `dip_z_2` + `-5V6-` + `-25V26-`",0.670231620110804,0.573246849755986,10.5324666067173,10
"`output` ~ `NPA_2` + `dip_y_2` + `-5V6-` + `Dihedral(1_2_19_27)`",0.706626170990599,0.572720068540404,9.91846162987495,11
"`output` ~ `NPA_1` + `dip_x_2` + `dip_z_2` + `-25V26-`",0.666648183227919,0.572437345355394,10.7825402007383,12
"`output` ~ `NPA_1` + `dip_z_2` + `-23V24-` + `-25V26-`",0.673717107964904,0.57039457298792,10.2921462253599,13
"`output` ~ `dip_x_1` + `dip_x_2` + `-23V24-` + `-25V26-`",0.672032114843689,0.569596516837736,10.4105259245465,14
"`output` ~ `diff_NBO_27_29` + `dip_x_2` + `dip_z_2` + `-25V26-`",0.661808413521258,0.565573218528867,10.8104915602053,15
