"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `loc.B5_4_7` + `NPA_29` + `cross_1`",0.496216936594057,0.28711455898077,19.5425652598757,1
"`output` ~ `loc.B5_4_7` + `diff_NBO_27_29` + `cross_1`",0.499563755316736,0.285817613796465,19.5726075258681,2
"`output` ~ `loc.B5_4_7` + `cross_1` + `Dist(27, 29)`",0.487477167251501,0.281902747561742,19.7100592723222,3
"`output` ~ `loc.B5_4_7` + `-27-29-` + `cross_1`",0.489589319532517,0.278181223817456,19.7384379079977,4
"`output` ~ `loc.B5_4_7` + `NPA_27` + `cross_1`",0.496619503634249,0.267735107735867,19.502079238505,5
"`output` ~ `loc.B5_4_7` + `cross_1` + `Dihedral(1_4_7_8)`",0.488749429350354,0.260429386751781,18.9640290408537,6
"`output` ~ `cross_1` + `Dihedral(1_4_7_8)` + `Dist(2, 18)`",0.433117011405359,0.238930708182616,19.1907432317871,7
"`output` ~ `Total_1` + `Dihedral(1_4_7_8)` + `Dist(2, 18)`",0.40486202396462,0.226588749955474,18.8046733807918,8
"`output` ~ `dip_z_2` + `Dihedral(1_4_7_8)` + `Dist(2, 18)`",0.378763001666738,0.219916302146388,18.7231479511048,9
"`output` ~ `NPA_27` + `diff_NBO_1_3` + `cross_1`",0.448566594945431,0.212322123621122,19.8296942885397,10
"`output` ~ `diff_NBO_1_3` + `diff_NBO_27_29` + `cross_1`",0.449964818135637,0.20651323268306,20.4463470303116,11
"`output` ~ `NPA_27` + `cross_1` + `-23V24-`",0.411754824946359,0.206195653267895,20.8353320877567,12
"`output` ~ `loc.B5_4_7` + `-2-18-` + `cross_1`",0.455397475550242,0.199781772527175,19.9874194913881,13
"`output` ~ `NPA_29` + `diff_NBO_1_3` + `cross_1`",0.438133547436959,0.196497956275678,20.4053528049978,14
"`output` ~ `diff_NBO_27_29` + `cross_1` + `-23V24-`",0.400579391932163,0.194266983241962,21.0293975099936,15
