"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `NPA_2` + `NPA_27` + `cross_1`",0.311808555921551,0.176149315833854,19.8114991367904,1
"`output` ~ `NPA_1` + `NPA_27` + `diff_NBO_2_18`",0.310177797945507,0.170421061514982,19.5379333208568,2
"`output` ~ `NPA_2` + `Total_1` + `cross_1`",0.327964648195771,0.150528947820487,20.5899778701396,3
"`output` ~ `diff_NBO_2_18` + `cross_1` + `Dist(27, 29)`",0.275337123939833,0.146793946885821,20.8864703559302,4
"`output` ~ `NPA_1` + `NPA_27` + `-27-29-`",0.304642121118317,0.146777954186661,21.2667229912615,5
"`output` ~ `NPA_1` + `NPA_2` + `Dihedral(1_2_19_27)`",0.294581722662966,0.137561066925187,20.4173709547317,6
"`output` ~ `NPA_27` + `diff_NBO_2_18` + `cross_1`",0.278377628978748,0.137419019256034,22.0285458857426,7
"`output` ~ `diff_NBO_2_18` + `diff_NBO_27_29` + `cross_1`",0.271405070245475,0.135265788939917,21.2782718711657,8
"`output` ~ `NPA_2` + `Total_1` + `-23V24-`",0.299764791735658,0.134778519603843,21.3347772007844,9
"`output` ~ `B1_B5_angle_4_7` + `NPA_2` + `Total_1`",0.302868927624504,0.124586663615266,22.0534859045641,10
"`output` ~ `NPA_1` + `-2-18-` + `-5V6-`",0.285933347807177,0.120841400347585,20.5296584110768,11
"`output` ~ `NPA_1` + `diff_NBO_2_18` + `Dist(27, 29)`",0.257898981790942,0.120694447849159,20.0784103101924,12
"`output` ~ `NPA_29` + `diff_NBO_2_18` + `cross_1`",0.254151930098346,0.116601535380011,21.4010715672244,13
"`output` ~ `NPA_27` + `-27-29-` + `cross_1`",0.256548341823252,0.116017915952599,21.8431967143692,14
"`output` ~ `NPA_1` + `diff_NBO_2_18` + `diff_NBO_27_29`",0.256284070119178,0.115173011272964,20.099323015977,15
