"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `NPA_2` + `Total_1` + `dip_x_2`",0.7256099961233,0.645292086310042,8.60314727154372,1
"`output` ~ `dip_x_2` + `-2-18-` + `para_1`",0.670802492349015,0.573256490641577,9.56651711551168,2
"`output` ~ `NPA_2` + `NPA_27` + `dip_x_2`",0.655009234707321,0.564203281074751,9.29002580147251,3
"`output` ~ `NPA_2` + `dip_x_2` + `Dist(2, 18)`",0.651849214515038,0.560662407094357,9.26224901166253,4
"`output` ~ `dip_z_2` + `-2-18-` + `para_1`",0.678312342325735,0.560180952800459,9.30563504498124,5
"`output` ~ `NPA_2` + `Total_1` + `para.angle_1`",0.666939847263526,0.558975897735213,9.58765963306814,6
"`output` ~ `NPA_2` + `Total_1` + `cross.angle_1`",0.66679429601379,0.558964388239255,9.73282006243375,7
"`output` ~ `dip_x_2` + `para_1` + `Dist(2, 18)`",0.661327796398687,0.554924015828246,9.80340262849133,8
"`output` ~ `Total_1` + `-2-18-` + `para_1`",0.669539983902747,0.551509496034177,9.59156714629119,9
"`output` ~ `NPA_2` + `dip_x_2` + `dip_z_2`",0.647545580902715,0.551475082621759,9.72998868958165,10
"`output` ~ `dip_x_1` + `dip_x_2` + `Dist(2, 18)`",0.647324223588109,0.544575857358449,9.26476334296055,11
"`output` ~ `NPA_1` + `dip_x_2` + `Dist(2, 18)`",0.638043439394829,0.54357817880956,9.6483139712645,12
"`output` ~ `diff_NBO_2_18` + `dip_x_2` + `Dist(2, 18)`",0.621097184759815,0.533960095651489,9.31252805314417,13
"`output` ~ `NPA_2` + `dip_z_1` + `dip_z_2`",0.640459463858889,0.530826373431551,10.5457235875338,14
"`output` ~ `NPA_2` + `dip_x_2` + `-5V6-`",0.635308927432867,0.530737218638242,10.0211278654037,15
