"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `B5_4_7` + `NPA_29` + `-2-18-`",0.786759776467955,0.696555858649477,7.26175398176945,1
"`output` ~ `B5_4_7` + `diff_NBO_27_29` + `-2-18-`",0.791573206045222,0.693274205167294,7.39719001885164,2
"`output` ~ `B5_4_7` + `NPA_29` + `Dist(2, 18)`",0.776712444159279,0.687700486645694,7.61450220570206,3
"`output` ~ `B5_4_7` + `-2-18-` + `Dist(27, 29)`",0.7682863412543,0.687526560390409,7.30164541959372,4
"`output` ~ `B5_4_7` + `diff_NBO_27_29` + `Dist(2, 18)`",0.776550662180435,0.686318025353211,7.73196346801274,5
"`output` ~ `B5_4_7` + `Dist(2, 18)` + `Dist(27, 29)`",0.76080739952997,0.677590577477578,7.6381740573729,6
"`output` ~ `B5_4_7` + `-2-18-` + `-27-29-`",0.763970947663133,0.675484760411853,7.56653963873603,7
"`output` ~ `loc.B5_4_7` + `dip_y_2` + `-25V26-`",0.77184129671025,0.675023194144197,7.90711071689597,8
"`output` ~ `B5_4_7` + `-27-29-` + `Dist(2, 18)`",0.752879753087208,0.665042737797333,7.8524970481068,9
"`output` ~ `Total_1` + `para_1` + `-25V26-`",0.739397175757543,0.651533193509511,7.78339861930904,10
"`output` ~ `Total_1` + `-5V6-` + `-25V26-`",0.735193265756215,0.649797229452318,7.2369831903322,11
"`output` ~ `B5_4_7` + `dip_x_1` + `-2-18-`",0.751088555256447,0.645984060902758,7.80714263720578,12
"`output` ~ `B5_4_7` + `Total_1` + `-25V26-`",0.736680843567796,0.645300240735592,6.79166688607615,13
"`output` ~ `B5_4_7` + `diff_NBO_2_18` + `dip_x_1`",0.740961556260377,0.645078291066124,8.17528179702303,14
"`output` ~ `Total_1` + `dip_y_2` + `-25V26-`",0.741604495071957,0.639001148758728,7.63320839624969,15
