"formula","R.sq","Q.sq","MAE","Model"
"`output` ~ `NPA_27` + `dip_x_2` + `Dihedral(1_2_19_27)`",0.474222039868808,0.352736926063778,13.3229821059074,1
"`output` ~ `NPA_27` + `para_1` + `Dihedral(1_2_19_27)`",0.482403241876908,0.351238580335272,13.1496688117778,2
"`output` ~ `loc.B5_4_7` + `dip_x_2` + `dip_y_2`",0.482083852051468,0.331790728235232,12.5369303890201,3
"`output` ~ `dip_x_2` + `-2-18-` + `Dist(27, 29)`",0.466416453751902,0.321426563819994,12.4433265961158,4
"`output` ~ `dip_x_1` + `dip_x_2` + `Dihedral(1_2_19_27)`",0.435188997551984,0.31640086722383,12.4266639408363,5
"`output` ~ `dip_x_1` + `Total_1` + `Dihedral(1_2_19_27)`",0.462319297420126,0.310107491606812,13.0544242296097,6
"`output` ~ `NPA_27` + `cross_1` + `Dihedral(1_2_19_27)`",0.454271141004691,0.308439835610495,14.0557134699466,7
"`output` ~ `dip_x_1` + `dip_x_2` + `dip_y_2`",0.44191122807832,0.307555106462077,12.473794596609,8
"`output` ~ `loc.B5_4_7` + `NPA_1` + `dip_x_1`",0.43106600582224,0.307333374884898,12.861703960702,9
"`output` ~ `dip_x_1` + `Total_1` + `dip_z_2`",0.470857791334295,0.306921751498992,13.5712262567068,10
"`output` ~ `B5_4_7` + `NPA_27` + `Dihedral(1_2_19_27)`",0.457673461971735,0.305177348699179,12.2257296924067,11
"`output` ~ `dip_x_2` + `dip_y_2` + `para.angle_1`",0.460216212575973,0.30493812714943,12.0024625188541,12
"`output` ~ `diff_NBO_2_18` + `dip_x_2` + `dip_y_2`",0.447875030164618,0.303611902297365,13.2746751789927,13
"`output` ~ `dip_x_1` + `dip_y_2` + `-1-3-`",0.451051152155644,0.301092408534814,12.8014206365621,14
"`output` ~ `NPA_29` + `dip_x_2` + `-2-18-`",0.445881348702085,0.300684908430812,12.8672058648167,15
